Company,Sector,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PB_FY0,PS_FY0,PE_FY1,PB_FY1,PS_FY1,PE_FY2,PB_FY2,PS_FY2,PE_FY3,PB_FY3,PS_FY3,PE_Avg3,PB_Avg3,PS_Avg3
HDFC ASSET MANAGEMENT COMPANY,DIVERSIFIED FINANCIALS,HDFCAMC,2672.2,126052.6,114.75,135.59,155.6,177.25,4060.1,4539.99,5150.4,5796.18,380.27,416.0,499.28,455.58,2460.19,2901.459,3328.0550000000003,3777.6089999999995,23.29,7.03,31.05,19.71,6.42,27.76,17.17,5.35,24.47,15.08,5.87,21.75,17.32,5.88,24.66
NIPPON LIFE INDIA ASSET MANAGMNT,DIVERSIFIED FINANCIALS,NAM-INDIA,888.45,53648.64,20.03,23.44,27.43,31.15,2230.69,2672.08,3110.88,3546.86,66.53,70.36,78.97,74.93,1286.3899999999999,1525.285,1763.539,1968.111,44.36,13.35,24.05,37.91,12.63,20.08,32.39,11.25,17.25,28.52,11.86,15.13,32.94,11.91,17.48
360 One,DIVERSIFIED FINANCIALS,360ONE,1138.9,44208.78,28.33,31.01,36.5,43.56,3295.09,3055.9,3608.7,4315.48,179.74,221.68,278.6,241.95,1102.9299999999998,1267.529,1520.364,1812.634,40.2,6.34,13.42,36.73,5.14,14.47,31.21,4.09,12.25,26.15,4.71,10.24,31.36,4.64,12.32
NUVAMA WEALTH MANAGEMENT,DIVERSIFIED FINANCIALS,NUVAMA,7169.0,24708.5,268.54,290.57,344.06,405.2,3864.06,3064.76,3582.32,4177.91,970.17,1114.54,1480.52,1284.5,986.1699000000001,1054.114,1250.6,1475.717,26.7,7.39,6.39,24.67,6.43,8.06,20.84,4.84,6.9,17.69,5.58,5.91,21.07,5.62,6.96
ADITYA BIRLA SUN LIFE AMC,DIVERSIFIED FINANCIALS,ABSLAMC,760.7,25244.66,32.18,34.59,38.84,44.16,1684.78,1902.84,2137.99,2285.76,129.18,149.21,179.25,168.22,930.6,1039.545,1151.411,1274.5,23.64,5.89,14.98,21.99,5.1,13.27,19.58,4.24,11.81,17.23,4.52,11.04,19.6,4.62,12.04
UTI ASSET MANAGEM,DIVERSIFIED FINANCIALS,UTIAMC,1134.0,17262.51,57.11,65.51,72.38,79.25,1847.23,1745.54,1920.38,2082.97,359.41,405.84,450.1,438.55,731.4898000000001,850.1559,967.9934,1032.7959999999998,19.86,3.16,9.35,17.31,2.79,9.89,15.67,2.52,8.99,14.31,2.59,8.29,15.76,2.63,9.06
ANAND RATHI WEALTH,DIVERSIFIED FINANCIALS,ANANDRATHI,3003.2,23277.32,36.17,45.6,58.1,73.0,980.65,1164.55,1442.65,1872.8,81.18,117.0,,165.1,299.8253,378.05,482.7,608.4,83.03,36.99,23.74,65.86,25.67,19.99,51.69,,16.14,41.14,18.19,12.43,52.9,21.93,16.18
PRUDENT CORPORATE ADVISORY SERVICES LTD.,DIVERSIFIED FINANCIALS,PRUDENT,2698.0,12004.62,47.25,54.96,71.19,90.07,1103.56,1310.0,1571.54,1894.97,161.25,201.52,369.37,283.65,195.64000000000001,230.9,287.8,359.55,57.1,16.73,10.88,49.09,13.39,9.16,37.9,7.3,7.64,29.96,9.51,6.34,38.98,10.07,7.71
Average - Asset Management,NAN,NAN,,326407.63,,,,,19066.16,19455.66,22524.86,25972.92,,,,,7993.2350000000015,9247.037899999998,10752.4624,12309.317,,,17.12,,,16.78,,,14.49,,,12.57,,,14.61
Median - Asset Management,NAN,NAN,,326407.63,,,,,19066.16,19455.66,22524.86,25972.92,,,,,7993.2350000000015,9247.037899999998,10752.4624,12309.317,,,17.12,,,16.78,,,14.49,,,12.57,,,14.61
